101,,0.9,,0.22,,,
102,,0.9,,0.22,,,
103,,0.9,,0.22,,,
201,,0.81,,0.14,,,
301,,0.9,,0.22,,,
302,,0.81,,0.14,,,
401,,0.9,,0.22,,,
402,,0.81,,0.14,,,
403,,0.83,,0.07,,,
501,,1.38,,0.07,,,
601,,0.9,,0.22,,,
602,,0.81,,0.14,,,
603,,0.83,,0.07,,,
604,,1.38,,0.07,,,
803,8.05,0.95,0.12,0,7.56,0.9,6455140000
804,9.81,1.28,0.13,0,7.89,0.95,5613530000
3601,,0.5,,0,,,4407810000
3701,,0.75,,0,,,5384520000
2301,-21.94,0.39,-0.02,0.47,,,0.47
2304,9.85,0.57,0.06,0.38,,0.4,0.36
1402,12.01,2.03,0.17,0,12.9,2,96011210000
1605,14.55,2.29,0.16,0,,,715580000
1701,14.84,2.47,0.17,0,,1.49,3646780000
1703,12.54,2.54,0.2,0,,1.86,7318000000
606,6.01,0.81,0.13,0,,,6061960000
702,6.03,0.76,0.13,0,,0.81,5592160000
703,6.09,0.75,0.12,0,6.27,0.82,6331060000
704,9.61,1.1,0.11,0,6.72,0.85,7552030000
801,8.8,0.99,0.11,0,7.02,0.86,8033620000
802,8.36,0.97,0.12,0,7.31,0.88,7018600000
903,12.69,1.66,0.13,0,,,240513940000
2003,18.67,2.67,0.14,0.19,,,1.95
3801,,0.72,,0,,,5163610000
2303,10.57,0.62,0.06,0.39,,0.35,0.48
2401,4.58,0.48,0.1,0.36,,0.43,0.27
2402,5.34,0.61,0.11,0.38,17.24,0.48,0.25
2404,3.17,0.71,0.22,0.43,19.81,0.59,0.21
2501,7.02,1.12,0.16,0.47,23.43,0.68,0.21
3301,9.78,1.02,0.1,0.57,6.07,0.87,0.37
3901,8.18,2.57,0.31,0.4,12.38,3.36,0.53
2502,5.99,1.04,0.17,0.46,6.62,0.74,0.44
2601,8.21,1.4,0.17,0.46,6.32,0.84,0.42
2602,7.85,0.82,0.1,0.57,6.07,0.87,0.37
904,14.38,1.91,0.13,0,,0.92,212026570000
1001,13.35,1.77,0.13,0,,1.12,201914420000
1101,12.61,1.75,0.14,0,,1.32,172171710000
1102,12.92,1.99,0.15,0,11.19,1.55,193484690000
1201,15.18,2.39,0.16,0,12.95,1.83,209780510000
1301,13.05,2.11,0.16,0,13.21,1.9,192136410000
1302,11.76,1.93,0.16,0,13.24,1.94,175113540000
3501,11.91,2.12,0.18,0,12.39,2.27,19699000000
1401,12.3,2.03,0.16,0,13.19,1.98,111331310000
1403,8.06,1.25,0.16,0,12.24,1.93,142095320000
2801,14.57,0.85,0.06,0.6,,,0.36
2001,35.81,1.99,0.06,0.25,,,1.32
1504,,1.06,,0,,,1558640000
1601,,1.09,,0,,,4117640000
1602,7.75,1.27,0.16,0,,,4215920000
1603,7.73,1.35,0.17,0,,,4212140000
1604,7.83,1.3,0.17,0,,,722220000
1702,13.32,2.54,0.19,0,,1.67,4373580000
1801,14.05,2.81,0.2,0,11.58,2.07,9889330000
1901,11.92,2.41,0.2,0,12.1,2.21,12206000000
1902,10.07,1.8,0.18,0,12.39,2.27,19699000000
607,6.06,0.78,0.13,0,,,6621130000
608,7.17,0.91,0.13,0,,0.77,6781170000
701,6.37,0.8,0.13,0,,0.81,5566210000
3802,6.07,0.85,0.14,0,,,5786460000
605,6.39,0.87,0.14,0,,,5806020000
2101,12.54,2.9,0.23,0.5,,1.83,0.67
2103,9.8,2.51,0.26,0.33,,2.22,0.61
2104,11.29,3.21,0.28,0.35,19.72,2.47,0.6
2106,13.7,3.24,0.24,0.42,14.09,2.91,0.5
2105,16.64,3.72,0.22,0.33,16.86,2.75,0.52
2107,16.14,3.92,0.24,0.44,13.84,3.13,0.47
1505,,1.05,,0,,,4847860000
3401,9.48,1.47,0.16,0,12.24,1.93,142095320000
2201,10.74,3.45,0.32,0.39,12.85,3.23,0.5
2202,13.58,4.58,0.34,0.38,12.98,3.44,0.31
4001,,1.44,,0.95,,,0.64
2002,18.16,2.09,0.11,0.68,,,0.67
3902,,0.88,,0.94,,,0.68
4002,,1.25,,0.93,,,0.71
4003,39.56,1.46,0.04,0.78,,,0.66
2102,11.93,2.9,0.24,0.33,,2.09,0.81
4103,,0.9,,0.61,,,0.14
4102,,0.59,,0.56,,,0.03
4101,,0.39,,0.55,,,0.08
902,11.48,1.59,0.14,0,,,235939890000
2802,17,0.82,0.05,0.42,,,0.37
2803,11.71,0.79,0.07,0.67,,0.81,0.28
2804,10.75,0.8,0.07,0.7,,0.8,0.28
2901,10.06,0.84,0.08,0.66,,0.81,0.29
2902,8.33,0.82,0.1,0.65,12.22,0.82,0.22
3001,8.01,1.05,0.13,0.77,11.83,0.84,0.32
3002,7.65,1.05,0.14,0.76,11.01,0.88,0.35
3003,8.84,1.16,0.13,0.77,10.29,0.92,0.32
901,10.99,1.58,0.14,0,,,245539590000
3004,8.11,1.06,0.13,0.84,9.18,0.95,0.32
3101,12.13,1.44,0.12,0.91,9.23,1.03,0.29
2701,14.2,0.78,0.05,0.61,,,0.36
1502,42.16,2.84,0.07,0.43,31.85,2.75,0.23
2203,-6.48,0.3,-0.05,0.51,,,0.36
6303,14.62,2.11,0.14,0.05,,2.1,2.75
6204,56.1,2.4,0.04,0.08,,,2.19
6304,14.87,2.24,0.15,0.06,28.72,2.19,2.95
6305,17.26,2.36,0.14,0.07,29.28,2.27,2.92
4302,6.69,0.92,0.14,0.42,,,0.26
4301,7.24,0.94,0.13,0.54,,,0.17
4201,6.7,0.87,0.13,0.54,,,0.27
4104,8.82,1.15,0.13,0.56,,,0.24
4303,6.83,0.91,0.13,0.53,,0.83,0.2
4401,6.65,0.92,0.14,0.54,,0.9,0.2
4403,5.37,0.76,0.14,0.53,,0.92,0.12
4601,6.85,0.89,0.13,0.51,6.89,0.92,0.12
4602,7.54,1.14,0.15,0.48,6.73,0.92,0.12
4701,7.65,1.19,0.16,0.49,6.85,0.96,0.12
4702,8.69,1.36,0.16,0.56,7.03,1.01,0.11
4703,8.71,1.46,0.17,0.52,7.29,1.08,0.08
4704,9.75,1.71,0.17,0.5,7.65,1.18,0.09
6401,15.05,2.06,0.14,0.07,25.34,2.29,2.16
5304,12.83,2.08,0.16,0,12.68,2.15,10847700000
4501,8.43,1.71,0.2,0.5,7.87,1.28,0.09
4801,,1.01,,0,,,5352570000
4802,,1.09,,0,,,8801780000
4901,,1.13,,0,,,7799960000
5001,7.49,0.98,0.13,0,,,9830990000
5101,8.6,1.08,0.13,0,,,10477810000
5102,9.3,1.25,0.13,0,,,9945400000
5103,8.82,1.32,0.15,0,,,10519570000
5104,10.92,1.56,0.14,0,,1.18,11201220000
5105,10.95,1.63,0.15,0,,1.25,10482390000
5106,11.78,2.02,0.17,0,,1.37,9388590000
5107,14.28,2.23,0.16,0,10.27,1.51,10273270000
5108,13.5,2.31,0.17,0,11.02,1.68,10811870000
5201,12.1,2.14,0.18,0,11.46,1.81,11441720000
5202,11.77,2.1,0.18,0,11.76,1.91,10520550000
5301,12.69,2.2,0.17,0,12.25,2.02,10160490000
5302,15.01,2.5,0.17,0,12.76,2.14,10198030000
5303,10.31,1.67,0.16,0,12.68,2.15,10847700000
